Player,Nation,Team,Position,Age,Matches played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals,Expedted Assist Goals,Progressive Carries in Progression,Progressive Passes in Progression,Progressive Passes Received in Progression,Goals Scored per 90 minutes,Assists per 90 minutes,Expected Goals per 90 minutes,Expected Assists Goals per 90 minutes,Goals Against per 90 minutes,Save Percentage,Clean Sheets Percentage,Penalty Save Percentage,Percentage of shots that are on target,Shots on target per 90 minutes,Goals per shot,Average Shot Distance,Passes Completed,Pass Completion Percentage,Total Passing Distance,Passes Completion Percentage (Short),Passes Completion Percentage (Medium),Passes Completion Percentage (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes in Expected,Shot-Creating Actions,Shot-Creating Actions per 90 minutes,Goal-Creating Actions,Goal-Creating Actions per 90 minutes,Tackles,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocks,Shots Blocked,Passes Blocked,Interceptions,Touches,Touches(Defensive Penalty Area),Touches(Defensive Third),Touches(Mid Third),Touches(Attacking Third),Touches(Attacking Penalty Area),Take-Ons Attempted(Take-Ons),Percentage of Take-Ons Completed Successfully,Tackled During Take-Ons Percentage,Carries,Progressive Carrying Distance,Progressive Carries in Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received in Receiving,Fouls Committed,Fouls Drawn,Offsides,Crosses,Ball Recoveries,Aerials Won,Aerials Lost,Aerials Won Percentage
Ian Maatsen,NED,Aston Villa,DF,23-053,25,7,887,1,2,2,0,0.7,2.7,26,39,84,0.10,0.20,0.08,0.27,N/a,N/a,N/a,N/a,31.3,0.51,0.06,22.7,507,81.8,8095,88.5,85.9,53.5,18,20,15,3,39,49,4.97,7,0.71,25,13,20,6,10,0,10,15,756,42,200,278,286,40,20,50.0,50.0,404,974,26,15,11,18,20,463,84,9,8,3,47,54,8,5,61.5
Ibrahim Sangaré,CIV,Nott'ham Forest,MF,27-151,9,3,295,0,1,2,0,0.0,0.4,0,14,2,0.00,0.31,0.01,0.12,N/a,N/a,N/a,N/a,100.0,0.31,0.00,32.0,131,80.4,1910,89.7,82.0,61.5,4,11,2,0,14,6,1.83,0,0.00,18,10,10,6,5,0,5,3,210,8,50,128,34,7,1,0.0,100.0,86,107,0,2,0,4,1,112,2,8,5,0,0,23,6,8,42.9
Ibrahima Konaté,FRA,Liverpool,DF,25-342,28,27,"2,320",1,2,5,0,1.7,1.0,21,103,3,0.04,0.08,0.07,0.04,N/a,N/a,N/a,N/a,16.7,0.12,0.06,10.5,1581,90.3,29259,93.7,95.1,55.7,10,125,8,0,103,30,1.16,7,0.27,36,25,34,10,27,15,12,12,2005,211,854,1047,110,22,4,50.0,25.0,1184,3160,21,13,0,8,2,1454,3,26,18,0,0,86,72,28,72.0
Idrissa Gana Gueye,SEN,Everton,MF,35-218,33,31,"2,705",0,3,8,0,1.1,1.7,24,126,23,0.00,0.10,0.04,0.06,N/a,N/a,N/a,N/a,18.5,0.17,0.00,25.2,1062,86.5,18071,90.7,90.5,74.0,19,130,10,3,126,56,1.86,3,0.10,123,74,87,33,44,9,35,41,1571,68,382,891,307,19,36,47.2,47.2,732,1501,24,25,4,30,33,895,23,51,39,0,7,177,22,15,59.5
Igor,BRA,Brighton,DF,27-084,12,9,903,0,0,4,0,0.0,0.2,9,44,0,0.00,0.00,0.00,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,14.1,628,92.1,11358,96.5,95.2,71.4,1,35,2,1,44,11,1.10,0,0.00,4,4,10,6,23,14,9,4,764,109,377,353,38,1,4,75.0,25.0,497,1782,9,14,0,1,0,568,0,9,6,0,2,40,8,6,57.1
Iliman Ndiaye,SEN,Everton,FW,25-057,29,26,"2,162",7,0,3,0,5.2,1.6,79,45,106,0.29,0.00,0.22,0.07,N/a,N/a,N/a,N/a,41.9,0.54,0.16,17.3,514,80.6,7768,86.0,85.8,68.0,17,34,14,5,45,58,2.42,5,0.21,47,25,44,25,25,4,21,17,956,32,197,397,410,74,134,45.5,47.0,552,2169,79,40,29,48,38,582,106,21,46,5,35,160,5,17,22.7
Illia Zabarnyi,UKR,Bournemouth,DF,22-243,32,31,"2,752",0,0,3,1,1.1,0.6,24,125,4,0.00,0.00,0.03,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,9.8,1216,81.3,25696,90.1,90.6,52.8,11,131,6,0,125,28,0.92,0,0.00,46,32,43,13,33,20,13,35,1809,214,842,920,67,13,8,62.5,25.0,1124,4327,24,20,0,14,3,1128,4,17,6,0,5,140,70,40,63.6
Ismaila Sarr,SEN,Crystal Palace,"MF,FW",27-066,34,26,"2,392",7,4,4,0,8.7,7.0,67,76,164,0.26,0.15,0.33,0.26,N/a,N/a,N/a,N/a,50.0,0.90,0.15,13.3,438,66.6,6582,74.8,70.8,47.7,37,26,36,8,76,97,3.65,9,0.34,21,10,23,16,22,7,15,8,954,39,156,367,441,118,51,29.4,52.9,526,1855,67,42,26,61,41,650,164,12,49,11,50,99,31,46,40.3
Issa Diop,FRA,Fulham,DF,28-113,21,15,"1,339",0,0,2,0,0.5,0.1,6,25,3,0.00,0.00,0.04,0.01,N/a,N/a,N/a,N/a,40.0,0.13,0.00,10.7,663,87.5,12350,92.5,92.9,52.9,3,43,1,0,25,6,0.40,0,0.00,26,12,18,5,10,7,3,9,903,125,498,381,26,13,2,50.0,50.0,533,1216,6,2,0,9,2,617,3,10,4,0,1,45,20,12,62.5
Jack Clarke,ENG,Ipswich Town,"FW,MF",24-160,28,11,"1,033",0,4,2,0,1.0,2.0,30,33,47,0.00,0.35,0.09,0.17,N/a,N/a,N/a,N/a,14.3,0.17,0.00,19.4,260,76.0,4206,86.7,85.6,46.4,23,24,6,0,33,39,3.40,5,0.44,28,17,31,15,6,0,6,7,476,22,114,195,181,32,38,55.3,31.6,264,966,30,18,9,20,16,287,47,14,20,3,13,65,7,14,33.3
Jack Grealish,ENG,Manchester City,"FW,MF",29-234,19,7,720,1,1,3,0,1.1,1.8,69,52,118,0.12,0.12,0.14,0.23,N/a,N/a,N/a,N/a,33.3,0.62,0.07,16.3,381,87.6,5676,93.2,87.8,69.2,24,23,16,0,52,47,5.87,2,0.25,9,5,5,3,12,2,10,2,519,14,40,162,324,71,29,44.8,31.0,375,1714,69,23,46,10,16,422,118,5,25,0,20,26,1,7,12.5
Jack Harrison,ENG,Everton,FW,28-163,30,22,"1,887",1,0,0,0,3.3,3.7,62,45,116,0.05,0.00,0.16,0.18,N/a,N/a,N/a,N/a,22.2,0.29,0.04,16.3,374,63.2,5976,81.4,68.6,34.0,32,26,24,10,45,53,2.53,4,0.19,30,21,40,26,18,2,16,9,862,31,144,304,421,62,71,31.0,57.7,473,1439,62,32,14,50,37,556,116,13,26,4,115,65,4,26,13.3
Jack Hinshelwood,ENG,Brighton,"DF,MF",20-021,22,20,"1,676",2,2,5,0,1.5,1.3,16,60,46,0.11,0.11,0.08,0.07,N/a,N/a,N/a,N/a,42.9,0.32,0.14,14.3,800,83.4,12164,91.2,84.4,54.0,15,33,9,2,60,33,1.77,3,0.16,26,18,26,15,8,3,5,14,1100,49,307,505,293,26,9,11.1,77.8,539,1084,16,19,1,16,2,686,46,15,6,0,26,55,19,14,57.6
Jack Stephens,ENG,Southampton,DF,31-095,16,14,"1,164",1,0,2,2,0.6,0.2,13,50,2,0.08,0.00,0.04,0.01,N/a,N/a,N/a,N/a,50.0,0.15,0.25,11.0,751,91.9,12975,92.9,94.3,81.3,3,46,5,0,50,12,0.93,0,0.00,31,18,26,11,14,9,5,11,935,106,387,458,94,11,4,0.0,100.0,520,1127,13,11,1,2,3,655,2,12,4,1,1,41,6,8,42.9
Jack Taylor,IRL,Ipswich Town,MF,26-313,28,2,685,1,0,3,0,0.7,0.5,11,39,18,0.13,0.00,0.09,0.07,N/a,N/a,N/a,N/a,23.5,0.53,0.06,23.0,273,81.3,4780,86.4,86.5,54.3,5,28,8,1,39,20,2.62,1,0.13,17,8,22,11,9,2,7,7,433,27,123,234,87,8,9,44.4,33.3,211,693,11,9,1,9,6,274,18,14,4,0,6,43,7,6,53.8
Jacob Greaves,ENG,Ipswich Town,DF,24-232,21,21,"1,845",1,0,5,0,1.2,0.0,6,51,7,0.05,0.00,0.06,0.00,N/a,N/a,N/a,N/a,50.0,0.20,0.13,8.3,791,86.4,12967,93.1,90.1,41.4,2,59,1,0,51,13,0.63,0,0.00,31,14,26,9,36,24,12,18,1141,244,619,455,71,15,3,66.7,33.3,524,925,6,9,0,7,2,704,7,11,18,1,0,43,58,38,60.4
Jacob Murphy,ENG,Newcastle Utd,FW,30-067,31,27,"2,084",8,11,3,0,5.6,8.1,69,63,210,0.35,0.48,0.24,0.35,N/a,N/a,N/a,N/a,36.6,0.65,0.20,18.1,593,68.2,8970,84.1,66.9,42.9,38,46,34,14,63,73,3.16,14,0.61,22,15,30,14,31,0,31,11,1112,20,158,409,556,83,62,48.4,46.8,652,2055,69,31,24,30,33,802,210,11,14,3,108,88,4,15,21.1
Jacob Ramsey,ENG,Aston Villa,"FW,MF",23-339,26,18,"1,485",1,3,2,0,1.4,2.1,57,64,103,0.06,0.18,0.09,0.12,N/a,N/a,N/a,N/a,23.5,0.24,0.06,16.1,470,85.5,6225,92.0,84.2,73.7,18,30,20,1,64,49,2.97,8,0.48,29,15,20,10,21,3,18,7,712,12,134,252,338,66,42,57.1,23.8,466,1598,57,31,19,39,21,542,103,12,24,5,10,74,6,10,37.5
Jaden Philogene Bidace,ENG,Aston Villa,"FW,MF",23-083,11,2,332,0,0,4,1,0.5,0.3,7,4,17,0.00,0.00,0.13,0.08,N/a,N/a,N/a,N/a,0.0,0.00,0.00,16.0,63,73.3,850,81.6,85.7,66.7,1,1,3,0,4,5,1.36,0,0.00,11,5,6,2,5,0,5,3,145,4,27,54,66,14,15,26.7,53.3,75,239,7,5,7,7,3,83,17,12,8,1,4,21,0,5,0.0
Jaden Philogene Bidace,ENG,Ipswich Town,"FW,DF",23-083,10,5,474,2,0,1,0,2.0,0.2,13,10,36,0.38,0.00,0.37,0.05,N/a,N/a,N/a,N/a,41.7,0.95,0.17,16.4,95,72.5,1536,84.4,73.2,50.0,5,7,4,3,10,9,1.71,0,0.00,14,7,15,7,11,1,10,10,220,10,53,68,101,18,18,27.8,61.1,127,305,13,3,5,11,10,133,36,8,10,1,13,23,5,3,62.5
Jadon Sancho,ENG,Chelsea,FW,25-038,28,18,"1,668",3,4,1,0,2.0,3.4,96,86,214,0.16,0.22,0.11,0.18,N/a,N/a,N/a,N/a,30.4,0.38,0.13,15.3,624,82.5,8433,89.2,84.0,50.0,35,25,46,0,86,65,3.51,10,0.54,10,6,12,7,9,0,9,2,915,11,114,267,544,116,95,47.4,40.0,619,2337,96,32,55,29,21,715,214,6,11,5,23,97,5,10,33.3
Jahmai Simpson-Pusey,ENG,Manchester City,DF,19-179,2,1,96,0,0,1,0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,0.00,N/a,N/a,107,93.0,1754,95.9,96.6,42.9,0,3,0,0,3,0,0.00,0,0.00,1,0,1,1,1,1,0,0,123,9,61,59,3,1,1,0.0,0.0,79,190,1,0,0,1,0,101,0,0,1,0,0,3,1,3,25.0
Jake O'Brien,IRL,Everton,DF,23-352,17,14,"1,301",2,0,4,0,0.7,0.6,7,41,24,0.14,0.00,0.05,0.04,N/a,N/a,N/a,N/a,60.0,0.21,0.40,11.5,461,77.2,8367,88.5,78.5,63.0,6,37,8,5,41,15,1.04,0,0.00,20,14,22,8,15,4,11,4,745,61,302,313,133,18,10,40.0,50.0,315,648,7,6,2,5,5,386,24,11,4,3,17,50,33,23,58.9
Jakub Kiwior,POL,Arsenal,DF,25-076,13,6,762,1,0,0,0,0.2,0.3,5,35,0,0.12,0.00,0.02,0.03,N/a,N/a,N/a,N/a,33.3,0.12,0.33,18.5,494,91.0,8754,94.0,95.3,56.4,3,45,3,0,35,6,0.71,0,0.00,12,6,11,3,8,5,3,2,611,59,193,368,50,4,4,75.0,25.0,352,808,5,4,1,3,1,464,0,8,3,0,1,18,8,7,53.3
Jakub Stolarczyk,POL,Leicester City,GK,24-134,6,6,540,0,0,1,0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,2.00,58.6,0.0,N/a,N/a,0.00,N/a,N/a,152,67.9,4176,100.0,97.9,45.0,0,2,0,0,1,0,0.00,0,0.00,2,1,2,1,0,0,0,0,241,179,236,6,0,0,0,N/a,N/a,130,396,0,0,0,1,0,131,0,0,0,0,0,7,3,0,100.0
James Bree,ENG,Southampton,DF,27-203,15,11,895,0,1,0,0,0.1,0.9,10,31,34,0.00,0.10,0.01,0.09,N/a,N/a,N/a,N/a,25.0,0.10,0.00,22.7,440,83.8,7028,90.9,88.4,51.1,10,26,6,5,31,15,1.51,1,0.10,15,10,17,10,8,3,5,8,602,42,194,263,150,10,8,50.0,25.0,319,713,10,11,0,6,4,389,34,2,4,0,24,56,12,5,70.6
James Garner,ENG,Everton,"MF,DF",24-050,17,13,"1,234",0,1,3,0,0.3,1.3,10,38,22,0.00,0.07,0.02,0.09,N/a,N/a,N/a,N/a,28.6,0.15,0.00,24.1,434,72.8,7598,83.6,82.3,44.7,11,39,5,2,38,30,2.19,4,0.29,37,23,33,16,14,3,11,16,734,32,187,360,194,9,16,37.5,62.5,336,578,10,13,1,11,7,386,22,16,12,0,50,60,10,8,55.6
James Hill,ENG,Bournemouth,DF,23-112,10,6,448,0,1,1,0,0.3,0.3,3,16,8,0.00,0.20,0.06,0.05,N/a,N/a,N/a,N/a,0.0,0.00,0.00,13.9,159,64.9,3098,76.1,77.3,36.2,3,20,6,0,16,8,1.61,1,0.20,15,8,11,8,5,0,5,9,319,19,99,167,54,8,2,50.0,50.0,146,295,3,6,0,2,0,179,8,7,5,0,10,13,14,12,53.8
James Justin,ENG,Leicester City,DF,27-068,32,30,"2,579",2,1,5,0,1.5,0.6,37,86,92,0.07,0.03,0.05,0.02,N/a,N/a,N/a,N/a,25.0,0.21,0.08,16.0,1052,77.6,16221,86.6,84.1,34.7,13,71,21,7,86,31,1.08,1,0.03,48,29,49,22,39,13,26,42,1714,131,594,768,362,37,29,31.0,44.8,770,1559,37,25,4,31,13,951,92,21,34,2,53,75,58,46,55.8
James Maddison,ENG,Tottenham,MF,28-160,31,21,"1,809",9,7,6,0,5.8,4.2,45,164,95,0.45,0.35,0.29,0.21,N/a,N/a,N/a,N/a,43.6,0.85,0.23,16.7,1021,81.3,16664,90.9,86.2,46.3,41,123,32,5,164,95,4.73,18,0.90,31,19,29,20,15,4,11,12,1464,26,210,691,576,77,77,42.9,44.2,1026,2279,45,39,20,23,25,1125,95,32,64,4,98,76,5,7,41.7
James Mcatee,ENG,Manchester City,"MF,FW",22-196,13,2,297,3,0,1,0,2.8,0.3,7,6,25,0.91,0.00,0.85,0.10,N/a,N/a,N/a,N/a,33.3,1.21,0.25,14.3,84,80.8,1280,86.5,88.1,33.3,2,7,2,0,6,3,0.91,1,0.30,4,2,7,6,8,0,8,2,145,2,16,58,72,19,7,28.6,71.4,82,187,7,5,1,5,1,104,25,5,2,0,5,8,2,3,40.0
James Milner,ENG,Brighton,MF,39-118,3,3,169,0,0,1,0,0.2,0.2,1,10,10,0.00,0.00,0.09,0.12,N/a,N/a,N/a,N/a,0.0,0.00,0.00,16.0,55,75.3,899,92.9,76.7,40.0,4,3,1,1,10,8,4.26,0,0.00,5,2,3,0,4,2,2,2,92,3,13,48,31,4,1,100.0,0.0,46,97,1,1,0,0,0,58,10,3,1,0,8,2,0,1,0.0
James Tarkowski,ENG,Everton,DF,32-164,33,33,"2,922",1,1,6,0,1.3,2.9,9,75,3,0.03,0.03,0.04,0.09,N/a,N/a,N/a,N/a,26.7,0.12,0.07,8.4,1045,81.0,22119,84.5,91.9,62.7,16,83,11,0,75,38,1.17,4,0.12,64,40,39,15,57,42,15,41,1706,355,974,635,106,57,7,71.4,28.6,727,1943,9,10,0,13,7,927,3,35,28,2,1,98,102,33,75.6
James Ward-Prowse,ENG,Nott'ham Forest,MF,30-182,9,5,400,0,1,2,1,0.1,1.1,1,16,3,0.00,0.23,0.01,0.25,N/a,N/a,N/a,N/a,50.0,0.23,0.00,29.0,145,79.7,2296,93.2,86.9,34.8,4,16,2,0,16,10,2.25,2,0.45,4,1,2,0,3,2,1,5,205,13,49,115,45,1,0,N/a,N/a,92,170,1,3,0,3,3,115,3,7,2,0,19,19,3,5,37.5
James Ward-Prowse,ENG,West Ham,MF,30-182,11,9,802,0,1,2,0,0.5,1.1,9,45,4,0.00,0.11,0.06,0.12,N/a,N/a,N/a,N/a,28.6,0.22,0.00,20.7,523,87.6,8754,95.8,91.6,56.4,13,60,4,1,45,23,2.58,1,0.11,13,9,12,9,6,3,3,5,656,28,142,395,119,5,5,40.0,60.0,318,669,9,13,0,3,6,455,4,9,2,0,37,43,5,4,55.6
Jamie Vardy,ENG,Leicester City,FW,38-111,32,32,"2,571",7,3,5,0,10.2,2.9,27,20,108,0.25,0.11,0.36,0.10,N/a,N/a,N/a,N/a,40.0,0.70,0.12,12.2,238,66.9,3417,74.3,77.0,68.4,18,10,9,1,20,42,1.47,9,0.31,18,13,13,9,8,4,4,3,541,28,54,252,240,101,21,42.9,47.6,257,629,27,11,14,33,12,350,108,21,20,25,11,34,49,51,49.0
Jan Bednarek,POL,Southampton,DF,29-020,28,28,"2,351",2,0,7,0,0.7,0.5,4,58,2,0.08,0.00,0.02,0.02,N/a,N/a,N/a,N/a,40.0,0.08,0.40,16.0,1495,92.5,26431,95.3,94.5,75.9,5,71,1,0,58,16,0.61,0,0.00,35,18,30,15,43,32,11,53,1953,359,1028,892,40,15,3,100.0,0.0,996,1646,4,5,1,9,3,1249,2,31,12,0,1,102,68,36,65.4
Jan Paul van Hecke,NED,Brighton,DF,24-328,30,29,"2,598",1,1,8,1,1.3,1.5,53,209,5,0.03,0.03,0.04,0.05,N/a,N/a,N/a,N/a,31.3,0.17,0.06,14.1,1795,87.9,35321,93.0,93.0,65.6,13,202,16,4,209,48,1.66,3,0.10,39,25,37,17,32,19,13,23,2316,246,987,1196,153,30,10,40.0,40.0,1536,6643,53,41,0,12,7,1628,5,22,22,0,11,119,73,48,60.3
Jannik Vestergaard,DEN,Leicester City,DF,32-272,18,16,"1,391",0,0,5,0,0.1,0.1,3,32,2,0.00,0.00,0.01,0.01,N/a,N/a,N/a,N/a,66.7,0.13,0.00,9.7,870,90.7,14697,95.0,93.7,59.3,3,34,1,0,32,7,0.45,0,0.00,22,10,15,6,21,14,7,16,1092,196,572,497,28,10,4,100.0,0.0,672,1458,3,3,0,2,0,757,2,12,4,0,0,46,26,19,57.8
Jarell Quansah,ENG,Liverpool,DF,22-093,11,2,315,0,0,1,0,0.1,0.1,2,12,4,0.00,0.00,0.03,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,8.9,206,90.4,3720,97.4,91.3,65.0,1,18,1,0,12,2,0.57,0,0.00,10,7,7,2,5,5,0,5,272,36,134,113,25,5,2,50.0,50.0,165,483,2,3,1,4,2,190,4,7,1,0,2,9,5,8,38.5
Jarrad Branthwaite,ENG,Everton,DF,22-309,27,25,"2,258",0,1,4,0,1.1,0.6,9,57,2,0.00,0.04,0.04,0.02,N/a,N/a,N/a,N/a,37.5,0.12,0.00,8.2,851,81.6,16684,89.7,90.3,55.0,2,75,2,0,57,12,0.48,2,0.08,35,20,26,7,29,21,8,23,1345,196,713,581,58,22,5,60.0,20.0,643,2143,9,13,2,8,3,774,2,10,15,1,3,80,50,36,58.1
Jarrod Bowen,ENG,West Ham,"FW,MF",28-133,30,30,"2,631",9,7,1,0,7.4,6.3,97,85,183,0.31,0.24,0.25,0.22,N/a,N/a,N/a,N/a,40.0,1.03,0.11,17.8,510,71.8,8497,83.9,76.4,55.1,49,37,42,7,85,102,3.49,13,0.44,36,23,37,20,21,3,18,16,1098,25,125,401,596,150,115,34.8,56.5,651,2295,97,43,55,67,68,718,183,18,47,9,100,120,11,44,20.0
Jason Steele,ENG,Brighton,GK,34-257,2,2,180,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.50,75.0,50.0,N/a,N/a,0.00,N/a,N/a,101,90.2,2321,100.0,96.9,65.4,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,114,107,114,0,0,0,0,N/a,N/a,91,151,0,0,0,0,0,83,0,0,1,0,0,7,1,1,50.0
Jean-Clair Todibo,FRA,West Ham,DF,25-123,23,16,"1,485",0,0,2,0,0.2,0.0,9,28,5,0.00,0.00,0.01,0.00,N/a,N/a,N/a,N/a,0.0,0.00,0.00,14.6,761,87.9,13519,93.3,94.8,45.3,2,40,1,0,28,5,0.30,0,0.00,36,22,30,7,23,12,11,20,1044,142,583,432,38,9,14,50.0,50.0,604,1354,9,5,0,9,8,714,5,10,5,0,2,62,23,23,50.0
Jean-Philippe Mateta,FRA,Crystal Palace,FW,27-308,33,30,"2,442",14,2,2,0,12.1,3.1,37,46,114,0.52,0.07,0.45,0.11,N/a,N/a,N/a,N/a,41.7,0.92,0.20,15.6,269,65.0,3557,76.4,62.5,31.8,27,31,15,2,46,56,2.06,8,0.29,17,12,16,13,16,3,13,2,680,24,57,327,310,86,42,42.9,47.6,363,894,37,20,8,67,41,502,114,27,26,17,24,60,59,95,38.3
Jean-Ricner Bellegarde,FRA,Wolves,"MF,FW",26-309,31,18,"1,486",2,6,3,0,1.3,3.6,47,36,81,0.12,0.36,0.08,0.22,N/a,N/a,N/a,N/a,25.0,0.30,0.10,21.7,403,79.2,6227,89.4,80.9,57.7,26,27,15,7,36,53,3.21,10,0.61,33,19,18,6,18,3,15,10,724,23,126,328,286,41,58,22.4,53.4,446,1375,47,34,10,36,23,500,81,29,39,1,38,55,8,18,30.8
Jefferson Lerma,COL,Crystal Palace,"MF,DF",30-189,29,23,"2,030",0,1,8,0,1.0,1.5,11,86,24,0.00,0.04,0.04,0.06,N/a,N/a,N/a,N/a,29.2,0.31,0.00,19.4,775,75.5,13637,86.8,81.3,46.7,9,83,17,2,86,42,1.86,3,0.13,30,15,33,16,32,15,17,36,1269,95,403,653,223,26,12,50.0,33.3,596,1004,11,10,0,14,15,745,24,34,35,0,11,139,39,38,50.6
Jeffrey Schlupp,GHA,Crystal Palace,"MF,DF",32-130,12,0,103,0,0,0,0,0.2,0.2,4,5,9,0.00,0.00,0.14,0.14,N/a,N/a,N/a,N/a,50.0,1.75,0.00,17.7,39,78.0,591,84.2,78.3,50.0,3,4,2,0,5,7,6.06,0,0.00,2,0,3,3,6,0,6,0,79,2,9,31,41,6,1,100.0,0.0,30,67,4,1,1,7,0,41,9,1,0,0,4,6,3,4,42.9
Jens Cajuste,SWE,Ipswich Town,MF,25-265,26,23,"1,774",1,0,2,0,0.5,0.6,23,46,16,0.05,0.00,0.02,0.03,N/a,N/a,N/a,N/a,10.0,0.05,0.10,21.3,572,82.4,9440,88.8,85.7,50.0,11,45,5,1,46,30,1.52,1,0.05,39,19,47,28,24,9,15,25,904,59,261,475,182,11,45,53.3,33.3,420,1175,23,21,3,21,14,521,16,21,21,0,9,98,12,20,37.5
Jeremy Doku,BEL,Manchester City,"FW,MF",22-340,25,14,"1,307",3,5,1,0,1.0,3.9,176,62,235,0.21,0.34,0.07,0.27,N/a,N/a,N/a,N/a,37.5,0.62,0.13,18.2,517,79.5,7264,86.8,81.9,66.7,25,10,41,5,62,63,4.34,12,0.83,28,19,14,7,10,1,9,4,878,4,42,205,654,122,175,56.0,28.0,678,4066,176,83,80,51,50,729,235,7,30,5,48,52,0,10,0.0
Jesper Lindstrøm,DEN,Everton,FW,25-062,25,15,"1,239",0,1,2,0,2.1,2.0,30,25,81,0.00,0.07,0.15,0.15,N/a,N/a,N/a,N/a,35.7,0.73,0.00,21.0,297,69.4,4593,86.2,65.7,44.6,19,18,12,7,25,46,3.35,1,0.07,45,25,55,36,15,3,12,12,625,22,127,206,303,40,43,18.6,72.1,302,780,30,19,7,31,24,347,81,15,10,1,71,70,6,12,33.3
Joachim Andersen,DEN,Fulham,DF,28-336,25,25,"2,223",0,0,5,1,0.9,0.3,13,103,2,0.00,0.00,0.04,0.01,N/a,N/a,N/a,N/a,25.0,0.16,0.00,15.7,1441,82.9,31915,91.3,93.6,55.8,3,169,6,3,103,30,1.22,2,0.08,24,17,20,7,31,25,6,30,2023,285,1061,885,89,19,6,66.7,0.0,1179,2869,13,12,1,5,3,1398,2,15,17,0,10,104,62,35,63.9
Joe Aribo,NGA,Southampton,"MF,DF",28-285,30,20,"1,909",3,0,1,0,2.7,1.6,35,71,64,0.14,0.00,0.13,0.07,N/a,N/a,N/a,N/a,41.2,0.33,0.18,14.0,878,88.5,13041,91.3,90.9,68.9,16,50,4,1,71,37,1.75,1,0.05,44,30,34,17,24,9,15,20,1203,46,288,632,294,44,46,39.1,47.8,708,1923,35,28,12,25,16,879,64,20,28,1,10,110,25,21,54.3
Joe Gomez,ENG,Liverpool,DF,27-344,9,6,519,0,0,1,0,0.3,0.1,5,35,2,0.00,0.00,0.06,0.02,N/a,N/a,N/a,N/a,66.7,0.35,0.00,11.9,377,88.7,6689,91.2,93.6,61.9,2,29,0,0,35,5,0.87,1,0.17,13,10,16,5,9,6,3,7,481,54,183,264,37,5,0,N/a,N/a,303,947,5,2,1,1,2,335,2,2,3,0,2,34,9,4,69.2
Joe Lumley,ENG,Southampton,GK,30-076,3,3,270,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.33,65.0,0.0,N/a,N/a,0.00,N/a,N/a,106,70.2,2342,95.5,91.3,35.6,0,2,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,164,116,161,3,0,0,0,N/a,N/a,103,296,0,0,0,0,0,108,0,0,0,0,0,2,2,1,66.7
Joe Willock,ENG,Newcastle Utd,"MF,FW",25-255,29,10,953,0,2,2,0,1.5,1.9,34,35,76,0.00,0.19,0.14,0.18,N/a,N/a,N/a,N/a,18.8,0.28,0.00,15.7,262,81.9,3708,88.6,86.0,42.1,21,23,8,0,35,41,3.88,4,0.38,25,14,28,10,22,5,17,5,472,12,70,198,212,47,32,34.4,46.9,282,892,34,23,12,33,22,327,76,20,12,3,16,35,5,13,27.8
Joelinton,BRA,Newcastle Utd,"MF,FW",28-261,29,29,"2,393",4,3,10,0,3.9,2.5,40,116,110,0.15,0.11,0.15,0.09,N/a,N/a,N/a,N/a,28.9,0.49,0.09,14.0,863,82.7,12199,87.7,86.6,60.0,23,80,17,2,116,61,2.29,9,0.34,57,35,44,19,37,7,30,23,1360,67,256,670,448,83,46,32.6,60.9,729,1786,40,26,9,39,53,934,110,58,35,7,16,149,59,46,56.2
John McGinn,SCO,Aston Villa,"MF,FW",30-196,30,24,"1,992",1,3,7,0,2.9,3.4,30,90,70,0.05,0.14,0.13,0.15,N/a,N/a,N/a,N/a,19.2,0.23,0.04,16.2,635,82.8,10675,91.6,86.5,59.8,27,60,27,7,90,66,2.98,6,0.27,31,22,26,15,20,2,18,14,965,27,154,514,307,52,43,39.5,27.9,530,1142,30,16,6,33,25,677,70,43,63,3,50,92,15,10,60.0
John Stones,ENG,Manchester City,"DF,MF",30-339,11,6,548,2,0,1,0,0.4,0.1,10,21,2,0.33,0.00,0.07,0.01,N/a,N/a,N/a,N/a,100.0,0.33,1.00,5.1,367,91.1,6382,94.4,92.5,77.5,2,42,0,0,21,8,1.31,2,0.33,6,2,5,0,5,3,2,4,442,40,142,234,68,4,2,100.0,0.0,292,1183,10,14,0,2,0,333,2,2,2,0,0,22,8,6,57.1
